"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
1,"Yes",41,"Sales","Sales Executive","Female","Single","Travel_Rarely",1,2,"Life Sciences",2,3,2,4,5993,8,"Yes",11,3,1,0,8,0,1,6,4,0,5,"35-44","6-10 years","5000-6999","1-5","0-1 years",1
2,"No",49,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",8,1,"Life Sciences",3,2,2,2,5130,1,"No",23,4,4,1,10,3,3,10,7,1,7,"45-54","6-10 years","5000-6999","6-10","0-1 years",0
4,"Yes",37,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,2,"Other",4,2,1,3,2090,6,"Yes",15,3,2,0,7,3,3,0,0,0,0,"35-44","Under 1 year","Under 3000","1-5","0-1 years",1
5,"No",33,"Research & Development","Research Scientist","Female","Married","Travel_Frequently",3,4,"Life Sciences",4,3,1,3,2909,1,"Yes",11,3,3,0,8,3,3,8,7,3,0,"25-34","6-10 years","Under 3000","1-5","2-3 years",0
7,"No",27,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",2,1,"Medical",1,3,1,2,3468,9,"No",12,3,4,1,6,3,3,2,2,2,2,"25-34","1-2 years","3000-4999","1-5","2-3 years",0
8,"No",32,"Research & Development","Laboratory Technician","Male","Single","Travel_Frequently",2,2,"Life Sciences",4,3,1,4,3068,0,"No",13,3,3,0,8,2,2,7,7,3,6,"25-34","6-10 years","3000-4999","1-5","2-3 years",0
10,"No",59,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",3,3,"Medical",3,4,1,1,2670,4,"Yes",20,4,1,3,12,3,2,1,0,0,0,"55+","1-2 years","Under 3000","1-5","0-1 years",0
11,"No",30,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",24,1,"Life Sciences",4,3,1,3,2693,1,"No",22,4,2,1,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","21+","0-1 years",0
12,"No",38,"Research & Development","Manufacturing Director","Male","Single","Travel_Frequently",23,3,"Life Sciences",4,2,3,3,9526,0,"No",21,4,2,0,10,2,3,9,7,1,8,"35-44","6-10 years","7000-9999","21+","0-1 years",0
13,"No",36,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",27,3,"Medical",3,3,2,3,5237,6,"No",13,3,2,2,17,3,2,7,7,7,7,"35-44","6-10 years","5000-6999","21+","6+ years",0
14,"No",35,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",16,3,"Medical",1,4,1,2,2426,0,"No",13,3,3,1,6,5,3,5,4,0,3,"35-44","3-5 years","Under 3000","11-20","0-1 years",0
15,"No",29,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",15,2,"Life Sciences",4,2,2,3,4193,0,"Yes",12,3,4,0,10,3,3,9,5,0,8,"25-34","6-10 years","3000-4999","11-20","0-1 years",0
16,"No",31,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",26,1,"Life Sciences",1,3,1,3,2911,1,"No",17,3,4,1,5,1,2,5,2,4,3,"25-34","3-5 years","Under 3000","21+","4-5 years",0
18,"No",34,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",19,2,"Medical",2,3,1,4,2661,0,"No",11,3,3,1,3,2,3,2,2,1,2,"25-34","1-2 years","Under 3000","11-20","0-1 years",0
19,"Yes",28,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",24,3,"Life Sciences",3,2,1,3,2028,5,"Yes",14,3,2,0,6,4,3,4,2,0,3,"25-34","3-5 years","Under 3000","21+","0-1 years",1
20,"No",29,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",21,4,"Life Sciences",2,4,3,1,9980,1,"No",11,3,3,1,10,1,3,10,9,8,8,"25-34","6-10 years","7000-9999","21+","6+ years",0
21,"No",32,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",5,2,"Life Sciences",1,4,1,2,3298,0,"Yes",12,3,4,2,7,5,2,6,2,0,5,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
22,"No",22,"Research & Development","Laboratory Technician","Male","Divorced","Non-Travel",16,2,"Medical",4,4,1,4,2935,1,"Yes",13,3,2,2,1,2,2,1,0,0,0,"Under 25","1-2 years","Under 3000","11-20","0-1 years",0
